,loads_small,loads_large,dumps_small,dumps_large
2,1,1,1,1
8,1.01947644198873,1.07737410080633,1.0877119360973,1.028842285534
9,1.09727990302751,1.10648285909721,1.19301627450025,1.02951257196461
10,1.00915062621335,1.05672981804763,1.11158524074728,1.00016170442196
11,1.02955281459074,1.07258909781953,1.12121404255101,1.01630852462592
12,1.00581807895653,1.0545802525717,1.12030134708864,1.03773317479285
13,1.0231903647101,1.0623797619531,1.14030495715885,1.06301136641321
14,1.01428756686981,1.05093634554681,1.09557379181123,1.04778356267003
15,1.01578451471089,1.04709790368244,1.07861139829504,1.00909754697302
16,1.00422525855748,1.01778829500695,1.10192567649782,1.02866431854761
17,1.01284257833427,1.03483756383256,1.08089722336259,1.01610583501082
18,1.01183480008958,1.04100265690238,1.11119298335068,1.01821731541586
19,0.995127256202106,1.02066549412274,1.10376059730042,1.0391684685165
20,1.00677446307579,1.03743712598311,1.08021448004102,1.02483595774635
21,1.00141768288328,1.04192757300658,1.09010577280052,1.01294053692296
22,1.00064385815047,1.03780458813262,1.13586736572158,1.0446029031135
23,0.993968633870238,1.03555560966191,1.05018841559636,1.00053328911113
24,0.964167388461705,0.993690738998861,1.06381679659118,1.00563400372958
25,0.969741449352844,0.997009919076524,1.02814548790322,1.00116748139514
26,0.975084388843419,0.985238076895893,1.02222295089786,0.986852124509404
27,0.96340261282144,0.986621778061961,1.01567356521056,0.987053390600232
28,0.966601935946834,0.973189974500765,1.0273990888095,1.01180100300974
29,0.988272012740526,1.00034888594394,1.03344723722894,1.00826071481532
30,0.990587832032446,1.0001444870927,1.04773002350053,1.02818555234259
31,0.987519919493509,1.00784801117123,1.02685416276958,0.999520165361088
32,1.00050897263795,1.01259738176563,1.08272280488488,1.05977222994009
33,0.974473758314824,1.00181348996056,1.064939808834,1.02311871967204
34,0.97824583247987,1.00162680101972,1.04137899650295,1.00294228120167
35,0.962710882052376,0.987803134762877,1.04740994539883,1.00258590990705
36,0.96149518274012,0.983285553550716,1.03225292243997,1.01650230765418
37,0.964262261085635,0.994380384328736,1.07456368178491,1.04483199333906
38,0.966867930823445,0.989409156654254,1.06243436963716,1.02460921916793
39,0.963983891248913,1.00947209759675,1.03821280894263,1.01469397610226
40,0.960970897447634,0.998722023118365,1.04375369339946,1.01419024316186
41,0.960024950528108,0.986351727208116,1.03662256966005,1.01377905683819
42,0.965570010226655,0.987947733916688,1.04169383317182,1.01359541329357
43,0.968147017258861,1.00418053564884,1.04077472981958,1.01033406052604
